RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,clutser
CSB,Agriculture,T5,5431,35073,1,0
Greater China,Web & Tech,T1,200,64499,1,0
EMEA,Manufacturing,T3,44512,111749,1,0
LA,Agriculture,T5,100,32634,1,0
NAMERICA,"Banking, Financial Services & Insurance",T3,87,405676,0,0
APJ,Retail,T1,100,447000,1,0
EMEA,"Banking, Financial Services & Insurance",T1,2400,6250000,0,0
EMEA,"Business, Engineering & Consumer Services",T1,278911,158671601.1,0,0
CSB,Retail,T5,2,149402,0,0
NAMERICA,Education,T1,891,1246334.51,0,0
CSB,Construction & Real Estate,T5,3,138014,0,0
APJ,"Banking, Financial Services & Insurance",T5,108,500000,0,0
APJ,"Banking, Financial Services & Insurance",T1,752,1202700,0,0
EMEA,Web & Tech,T5,33,15709,0,0
CSB,Construction & Real Estate,T1,2,17000.997,1,0
NAMERICA,"Business, Engineering & Consumer Services",T3,450,803300,1,0
CSB,"Business, Engineering & Consumer Services",T5,1,20337,0,0
CSB,Manufacturing,T5,10,895302,0,0
EMEA,Manufacturing,T1,5,8140495,0,0
NAMERICA,Government,T5,62,22388.569,0,0
APJ,Manufacturing,T2,120,235000,1,0
EMEA,"Telecom, Media & Entertainment",T2,83,475564.127,0,0
NAMERICA,"Telecom, Media & Entertainment",T3,550,481443.261,0,0
CSB,Agriculture,T5,17,18677,0,0
NAMERICA,"Business, Engineering & Consumer Services",T3,55,214552.809,1,0
NAMERICA,Government,T1,3,267000,0,0
EMEA,Manufacturing,T3,152,34744,1,0
Greater China,Manufacturing,T1,2342,230030,1,0
LA,Agriculture,T1,400,566100,1,0
CSB,"Business, Engineering & Consumer Services",T5,26,3779357,1,0
NAMERICA,"Telecom, Media & Entertainment",T3,90,566914.938,0,0
CSB,"Business, Engineering & Consumer Services",T5,20,44365,0,0
NAMERICA,Government,T4,188,197100,0,0
NAMERICA,Manufacturing,T3,2495,395800,0,0
APJ,"Telecom, Media & Entertainment",T1,30,600000,1,0
EMEA,Retail,T2,25992,670630.06,1,0
NAMERICA,Government,T5,160,90485,0,0
Greater China,Education,T2,2000,232000,1,0
NAMERICA,Energy,T5,65,140967,0,0
CSB,Transportation,T5,96,1864970,1,0
EMEA,"Telecom, Media & Entertainment",T5,496,50718.08,0,0
EMEA,Agriculture,T5,4175,185671,0,0
NAMERICA,Education,T2,4000,440698.76,0,0
EMEA,Manufacturing,T1,124729,190268,0,0
LA,Agriculture,T1,2000,461764.293,0,0
APJ,Education,T1,1,2321294,1,0
CSB,Construction & Real Estate,T5,14,8313991,1,0
NAMERICA,Education,T1,5607,3093602.785,1,0
LA,"Banking, Financial Services & Insurance",T2,100,26372.26,0,0
EMEA,"Business, Engineering & Consumer Services",T1,3418,16071,0,0
NAMERICA,"Business, Engineering & Consumer Services",T4,285,172188,0,0
APJ,Transportation,T3,300,44324.276,1,0
Greater China,Manufacturing,T1,1648,1623174.625,1,0
APJ,Education,T1,5518,6109327,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,68000,133236900,1,0
LA,"Business, Engineering & Consumer Services",T2,259,3072946,1,0
NAMERICA,Web & Tech,T5,110,41400,1,0
NAMERICA,Transportation,T5,350,71337.883,1,0
APJ,"Banking, Financial Services & Insurance",T1,287,1217325.001,0,0
APJ,"Business, Engineering & Consumer Services",T1,3000,2100060,0,0
NAMERICA,Education,T1,3,730000,1,0
APJ,"Business, Engineering & Consumer Services",T2,916,29295878,0,0
Greater China,Manufacturing,T2,1100,220700,0,0
EMEA,Agriculture,T1,5804,10033800,0,0
NAMERICA,Retail,T1,1,6927176.568,1,0
NAMERICA,Government,T1,190,1445000,0,0
NAMERICA,Government,T1,1,9493100,1,0
APJ,Government,T1,7692,648800,1,0
EMEA,Retail,T3,5,13116,1,0
APJ,Healthcare & Life Sciences,T3,190,71777.127,1,0
APJ,Retail,T3,145,65223.82,0,0
NAMERICA,Government,T5,77,113000,0,0
NAMERICA,"Business, Engineering & Consumer Services",T2,315,463864.962,0,0
NAMERICA,Healthcare & Life Sciences,T5,88,12424.999,0,0
APJ,"Banking, Financial Services & Insurance",T1,1150,825496,1,0
NAMERICA,Healthcare & Life Sciences,T1,700,8494294.76,1,0
NAMERICA,Manufacturing,T1,10400,1490734.16,0,0
EMEA,Web & Tech,T1,201,12151700,0,0
EMEA,"Banking, Financial Services & Insurance",T1,200,1022704.6,1,0
EMEA,Retail,T1,9229,2475500,0,0
CSB,Agriculture,T5,25,81226,0,0
APJ,"Business, Engineering & Consumer Services",T1,773,305000,0,0
EMEA,Manufacturing,T2,47186,9000000,1,0
CSB,Agriculture,T5,15,53906,1,0
NAMERICA,Government,T1,678,306005,0,0
CSB,Retail,T5,20,8182552,1,0
EMEA,"Business, Engineering & Consumer Services",T1,51,1470000,0,0
NAMERICA,"Business, Engineering & Consumer Services",T2,13700,20434100,1,0
NAMERICA,Manufacturing,T5,100,44385.999,1,0
EMEA,Education,T3,90,60952.239,0,0
Greater China,Agriculture,T5,25,158010,1,0
EMEA,Education,T1,200,702840.178,1,0
APJ,"Business, Engineering & Consumer Services",T1,3,958687,1,0
CSB,Retail,T5,9,8827321,0,0
NAMERICA,Transportation,T2,12767,10084611.61,0,0
NAMERICA,Education,T3,400,314982,0,0
CSB,Agriculture,T5,20,73643,1,0
CSB,"Business, Engineering & Consumer Services",T5,3,156229,1,0
NAMERICA,Manufacturing,T4,660,266481,1,0
EMEA,Retail,T1,5578,11126,0,0
APJ,"Telecom, Media & Entertainment",T2,19,286285.339,1,0
EMEA,"Business, Engineering & Consumer Services",T5,100,26514.724,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,190,132240,0,0
CSB,Retail,T5,29,3675920,0,0
CSB,Manufacturing,T5,77,18276,0,0
CSB,Retail,T5,32,11860.488,1,0
EMEA,"Banking, Financial Services & Insurance",T1,241000,210860500,1,0
CSB,Agriculture,T5,6774,26843,1,0
NAMERICA,Manufacturing,T1,2200,1239396.696,1,0
CSB,Agriculture,T5,55,85859,1,0
EMEA,"Banking, Financial Services & Insurance",T1,130,160712,0,0
LA,Manufacturing,T5,600,33480.872,0,0
CSB,"Business, Engineering & Consumer Services",T5,6,4463812,1,0
NAMERICA,"Business, Engineering & Consumer Services",T2,3533,7105600,1,0
CSB,Agriculture,T5,15,156131,0,0
EMEA,Government,T1,250,5610000,1,0
CSB,Retail,T5,102,22817.034,1,0
LA,Government,T2,520,134626,0,0
Greater China,Manufacturing,T1,6437,4208806,1,0
NAMERICA,Healthcare & Life Sciences,T1,25949,12858500,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,1573,81861,1,0
APJ,Web & Tech,T1,300,2587500,1,0
APJ,Manufacturing,T2,2048,1000200,0,0
EMEA,Retail,T1,57876,9010000,1,0
NAMERICA,Web & Tech,T3,34,105296.667,0,0
Greater China,"Banking, Financial Services & Insurance",T1,1400,657202.92,1,0
NAMERICA,Government,T5,3,68599.999,1,0
APJ,Agriculture,T3,125,56659,1,0
EMEA,"Business, Engineering & Consumer Services",T1,9204,109479,1,0
LA,Education,T2,250,363200,1,0
CSB,"Business, Engineering & Consumer Services",T5,13,72353,0,0
NAMERICA,"Banking, Financial Services & Insurance",T5,1,23535.401,0,0
EMEA,Retail,T2,389,240000,0,0
EMEA,Agriculture,T5,50,178317,0,0
